window_id,regime,fit_end,forecast_start,forecast_end
d_GFC_1,GFC,2007-09-21,2007-09-25,2007-12-18
d_GFC_2,GFC,2008-01-07,2008-01-09,2008-04-04
d_GFC_3,GFC,2008-04-24,2008-04-28,2008-07-22
d_GFC_4,GFC,2008-10-17,2008-10-21,2009-01-15
d_GFC_5,GFC,2009-02-26,2009-03-02,2009-05-26
d_OIL_CRASH_1,OIL_CRASH,2014-09-11,2014-09-15,2014-12-08
d_OIL_CRASH_2,OIL_CRASH,2015-02-20,2015-02-24,2015-05-19
d_OIL_CRASH_3,OIL_CRASH,2015-05-21,2015-05-26,2015-08-18
d_OIL_CRASH_4,OIL_CRASH,2015-10-23,2015-10-27,2016-01-22
d_OIL_CRASH_5,OIL_CRASH,2016-02-18,2016-02-22,2016-05-16
d_COVID_1,COVID,2020-03-10,2020-03-12,2020-07-10
d_COVID_2,COVID,2020-07-15,2020-07-17,2020-10-09
d_COVID_3,COVID,2020-11-02,2020-11-04,2021-02-01
d_ENERGY_22_1,ENERGY_22,2022-03-03,2022-03-07,2022-05-31
d_ENERGY_22_2,ENERGY_22,2022-07-13,2022-07-15,2022-10-07
d_ENERGY_22_3,ENERGY_22,2022-11-15,2022-11-17,2023-02-14
d_ENERGY_22_4,ENERGY_22,2023-05-05,2023-05-09,2023-08-03
d_CALM_17_19_1,CALM_17_19,2017-03-07,2017-03-09,2017-06-02
d_CALM_17_19_2,CALM_17_19,2017-10-06,2017-10-10,2018-01-04
d_CALM_17_19_3,CALM_17_19,2018-09-18,2018-09-20,2018-12-14
d_CALM_17_19_4,CALM_17_19,2019-01-02,2019-01-04,2019-04-01
d_CALM_17_19_5,CALM_17_19,2019-12-10,2019-12-12,2020-03-10
